"sample.no","complexity","algal.cover","","sanctuary","status","site.new","year"
1,0,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
2,2,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
3,4,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
4,1,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
5,4,2,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
6,2,2,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
7,2,2,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
8,2,2,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
9,2,2,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
10,1,2,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
11,3,2,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
12,1,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
13,1,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
14,2,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
15,1,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
16,3,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
17,1,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
18,2,2,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
19,2,2,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
20,0,2,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
21,1,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
22,1,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
23,3,2,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
24,4,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
25,4,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
26,4,2,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
27,1,1,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
28,2,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
29,2,1,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
30,2,1,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
31,2,1,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
32,2,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
33,2,2,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
34,1,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
35,2,2,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
36,1,2,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
37,1,2,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
38,1,2,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
39,2,2,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
40,1,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
41,1,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
42,2,2,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
43,2,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
44,2,1,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
45,2,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
46,2,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
47,1,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
48,4,1,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
49,4,2,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
50,2,3,NA,"Armstrong Bay","No-take","Little Armstrong.No-take",2014
