sanctuary,site,status,date,time,group.no,groupID,transect,length.mm,stage,school,comments
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,160,F,1,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,100,F,1,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,200,F,1,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,130,F,1,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,140,F,1,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,1,100,F,1,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,90,F,2,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,70,F,3,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,80,F,4,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,90,F,4,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,100,F,4,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,120,F,5,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,2,200,F,5,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,3,100,F,6,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,3,40,J,7,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,3,200,F,8,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,3,50,F,9,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,3,120,F,9,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,130,F,10,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,170,F,10,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,110,F,10,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,70,F,11,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,80,F,11,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,100,F,11,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,130,F,11,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,60,F,12,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,80,F,12,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,250,M,13,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,200,F,13,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,170,F,13,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,80,F,14,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,70,F,14,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,160,F,15,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,60,F,16,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,80,F,17,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,70,F,17,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,90,F,17,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,4,220,F,18,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,300,M,19,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,250,F,19,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,270,F,19,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,150,F,19,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,100,F,19,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,120,F,19,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,200,F,20,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,120,F,21,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,120,F,22,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,130,F,23,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,300,F,24,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,120,F,24,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,180,F,24,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,120,F,25,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,JAT,5,150,F,25,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,1,75,F,1,started 9am
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,1,70,F,1,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,1,70,F,1,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,2,50,F,2,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,2,50,F,3,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,2,60,F,4,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,2,50,F,5,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,2,60,F,5,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,2,200,F,5,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,3,60,F,6,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,3,70,F,6,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,3,70,F,6,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,3,100,F,7,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,3,90,F,8,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,3,85,F,9,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,4,80,F,10,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,4,50,F,10,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,4,100,F,10,NA
Parker_Pt,East_Salmon,No-take,1/17/2019,900,1,EP,4,150,F,10,NA
