sanctuary,status,group.id,transect.id,metric,count,sample.no
Armstrong,Fished,Fished.Armstrong.Catherine_Bay.BC,Fished.Armstrong.Catherine_Bay.BC.1,F,2,1
Armstrong,Fished,Fished.Armstrong.Catherine_Bay.BC,Fished.Armstrong.Catherine_Bay.BC.2,F,0,2
Armstrong,Fished,Fished.Armstrong.Catherine_Bay.BC,Fished.Armstrong.Catherine_Bay.BC.3,F,5,3
Armstrong,Fished,Fished.Armstrong.Catherine_Bay.BC,Fished.Armstrong.Catherine_Bay.BC.4,F,1,4
Armstrong,Fished,Fished.Armstrong.Catherine_Bay.BC,Fished.Armstrong.Catherine_Bay.BC.5,F,2,5
Armstrong,Fished,Fished.Armstrong.Catherine_Bay.LS,Fished.Armstrong.Catherine_Bay.LS.1,F,0,6
Armstrong,Fished,Fished.Armstrong.Catherine_Bay.LS,Fished.Armstrong.Catherine_Bay.LS.2,F,41,7
Armstrong,Fished,Fished.Armstrong.Catherine_Bay.LS,Fished.Armstrong.Catherine_Bay.LS.3,F,2,8
Armstrong,Fished,Fished.Armstrong.Catherine_Bay.LS,Fished.Armstrong.Catherine_Bay.LS.4,F,0,9
Armstrong,Fished,Fished.Armstrong.Catherine_Bay.LS,Fished.Armstrong.Catherine_Bay.LS.5,F,0,10
Armstrong,Fished,Fished.Armstrong.Catherine_Bay.SRJ,Fished.Armstrong.Catherine_Bay.SRJ.1,F,0,11
Armstrong,Fished,Fished.Armstrong.Catherine_Bay.SRJ,Fished.Armstrong.Catherine_Bay.SRJ.2,F,8,12
Armstrong,Fished,Fished.Armstrong.Catherine_Bay.SRJ,Fished.Armstrong.Catherine_Bay.SRJ.3,F,0,13
Armstrong,Fished,Fished.Armstrong.Catherine_Bay.SRJ,Fished.Armstrong.Catherine_Bay.SRJ.4,F,1,14
Armstrong,Fished,Fished.Armstrong.Catherine_Bay.SRJ,Fished.Armstrong.Catherine_Bay.SRJ.5,F,1,15
Armstrong,Fished,Fished.Armstrong.Geordie_Bay.AT,Fished.Armstrong.Geordie_Bay.AT.1,F,0,16
Armstrong,Fished,Fished.Armstrong.Geordie_Bay.AT,Fished.Armstrong.Geordie_Bay.AT.2,F,3,17
Armstrong,Fished,Fished.Armstrong.Geordie_Bay.AT,Fished.Armstrong.Geordie_Bay.AT.3,F,2,18
Armstrong,Fished,Fished.Armstrong.Geordie_Bay.AT,Fished.Armstrong.Geordie_Bay.AT.4,F,1,19
Armstrong,Fished,Fished.Armstrong.Geordie_Bay.AT,Fished.Armstrong.Geordie_Bay.AT.5,F,6,20
Armstrong,Fished,Fished.Armstrong.Geordie_Bay.EPJ,Fished.Armstrong.Geordie_Bay.EPJ.1,F,0,21
Armstrong,Fished,Fished.Armstrong.Geordie_Bay.EPJ,Fished.Armstrong.Geordie_Bay.EPJ.2,F,0,22
Armstrong,Fished,Fished.Armstrong.Geordie_Bay.EPJ,Fished.Armstrong.Geordie_Bay.EPJ.3,F,3,23
Armstrong,Fished,Fished.Armstrong.Geordie_Bay.EPJ,Fished.Armstrong.Geordie_Bay.EPJ.4,F,0,24
Armstrong,Fished,Fished.Armstrong.Geordie_Bay.EPJ,Fished.Armstrong.Geordie_Bay.EPJ.5,F,0,25
Armstrong,Fished,Fished.Armstrong.Geordie_Bay.ST,Fished.Armstrong.Geordie_Bay.ST.1,F,4,26
Armstrong,Fished,Fished.Armstrong.Geordie_Bay.ST,Fished.Armstrong.Geordie_Bay.ST.2,F,0,27
Armstrong,Fished,Fished.Armstrong.Geordie_Bay.ST,Fished.Armstrong.Geordie_Bay.ST.3,F,0,28
Armstrong,Fished,Fished.Armstrong.Geordie_Bay.ST,Fished.Armstrong.Geordie_Bay.ST.4,F,0,29
Armstrong,Fished,Fished.Armstrong.Longreach_Bay.AAE,Fished.Armstrong.Longreach_Bay.AAE.1,F,3,30
Armstrong,Fished,Fished.Armstrong.Longreach_Bay.AAE,Fished.Armstrong.Longreach_Bay.AAE.2,F,0,31
Armstrong,Fished,Fished.Armstrong.Longreach_Bay.AAE,Fished.Armstrong.Longreach_Bay.AAE.3,F,3,32
Armstrong,Fished,Fished.Armstrong.Longreach_Bay.AAE,Fished.Armstrong.Longreach_Bay.AAE.4,F,7,33
Armstrong,Fished,Fished.Armstrong.Longreach_Bay.AAE,Fished.Armstrong.Longreach_Bay.AAE.5,F,0,34
Armstrong,Fished,Fished.Armstrong.Longreach_Bay.HA,Fished.Armstrong.Longreach_Bay.HA.1,F,2,35
Armstrong,Fished,Fished.Armstrong.Longreach_Bay.HA,Fished.Armstrong.Longreach_Bay.HA.2,F,0,36
Armstrong,Fished,Fished.Armstrong.Longreach_Bay.HA,Fished.Armstrong.Longreach_Bay.HA.3,F,3,37
Armstrong,Fished,Fished.Armstrong.Longreach_Bay.HA,Fished.Armstrong.Longreach_Bay.HA.4,F,0,38
Armstrong,Fished,Fished.Armstrong.Longreach_Bay.HA,Fished.Armstrong.Longreach_Bay.HA.5,F,7,39
Armstrong,Fished,Fished.Armstrong.Longreach_Bay.JH,Fished.Armstrong.Longreach_Bay.JH.1,F,1,40
Armstrong,Fished,Fished.Armstrong.Longreach_Bay.JH,Fished.Armstrong.Longreach_Bay.JH.2,F,2,41
Armstrong,Fished,Fished.Armstrong.Longreach_Bay.JH,Fished.Armstrong.Longreach_Bay.JH.3,F,3,42
Armstrong,Fished,Fished.Armstrong.Longreach_Bay.JH,Fished.Armstrong.Longreach_Bay.JH.4,F,0,43
Armstrong,Fished,Fished.Armstrong.Longreach_Bay.JH,Fished.Armstrong.Longreach_Bay.JH.5,F,0,44
Armstrong,Fished,Fished.Armstrong.Parakeet_Bay.AAE,Fished.Armstrong.Parakeet_Bay.AAE.1,F,0,45
Armstrong,Fished,Fished.Armstrong.Parakeet_Bay.AAE,Fished.Armstrong.Parakeet_Bay.AAE.2,F,22,46
Armstrong,Fished,Fished.Armstrong.Parakeet_Bay.AAE,Fished.Armstrong.Parakeet_Bay.AAE.3,F,0,47
Armstrong,Fished,Fished.Armstrong.Parakeet_Bay.AAE,Fished.Armstrong.Parakeet_Bay.AAE.4,F,7,48
Armstrong,Fished,Fished.Armstrong.Parakeet_Bay.AAE,Fished.Armstrong.Parakeet_Bay.AAE.5,F,2,49
Armstrong,Fished,Fished.Armstrong.Parakeet_Bay.HA,Fished.Armstrong.Parakeet_Bay.HA.1,F,3,50
Armstrong,Fished,Fished.Armstrong.Parakeet_Bay.HA,Fished.Armstrong.Parakeet_Bay.HA.2,F,1,51
Armstrong,Fished,Fished.Armstrong.Parakeet_Bay.HA,Fished.Armstrong.Parakeet_Bay.HA.3,F,8,52
Armstrong,Fished,Fished.Armstrong.Parakeet_Bay.HA,Fished.Armstrong.Parakeet_Bay.HA.4,F,1,53
Armstrong,Fished,Fished.Armstrong.Parakeet_Bay.HA,Fished.Armstrong.Parakeet_Bay.HA.5,F,0,54
Armstrong,Fished,Fished.Armstrong.Parakeet_Bay.JH,Fished.Armstrong.Parakeet_Bay.JH.1,F,1,55
