"row.id","length.mm","","sanctuary","status","site","stage","transect.id"
1,160,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.1"
2,100,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.1"
3,200,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.1"
4,130,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.1"
5,140,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.1"
6,100,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.1"
7,90,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.2"
8,70,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.2"
9,80,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.2"
10,90,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.2"
11,100,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.2"
12,120,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.2"
13,200,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.2"
14,100,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.3"
15,40,NA,"Parker_Pt","No-take","East_Salmon","J","No-take.Parker_Pt.East_Salmon.JAT.3"
16,200,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.3"
17,50,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.3"
18,120,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.3"
19,130,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.4"
20,170,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.4"
21,110,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.4"
22,70,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.4"
23,80,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.4"
24,100,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.4"
25,130,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.4"
26,60,NA,"Parker_Pt","No-take","East_Salmon","F","No-take.Parker_Pt.East_Salmon.JAT.4"
