"transect.id","count","","sanctuary","status","group.id"
"Fished.Armstrong.Catherine_Bay.LS.1",0,NA,"Armstrong","Fished","Fished.Armstrong.Catherine_Bay.LS"
"Fished.Armstrong.Catherine_Bay.LS.2",41,NA,"Armstrong","Fished","Fished.Armstrong.Catherine_Bay.LS"
"Fished.Armstrong.Catherine_Bay.LS.5",0,NA,"Armstrong","Fished","Fished.Armstrong.Catherine_Bay.LS"
"Fished.Armstrong.Catherine_Bay.SRJ.3",0,NA,"Armstrong","Fished","Fished.Armstrong.Catherine_Bay.SRJ"
"Fished.Armstrong.Geordie_Bay.AT.4",1,NA,"Armstrong","Fished","Fished.Armstrong.Geordie_Bay.AT"
"Fished.Armstrong.Longreach_Bay.HA.3",3,NA,"Armstrong","Fished","Fished.Armstrong.Longreach_Bay.HA"
"Fished.Armstrong.Ricey_Beach.AT.3",8,NA,"Armstrong","Fished","Fished.Armstrong.Ricey_Beach.AT"
"Fished.Armstrong.Ricey_Beach.EPJ.1",17,NA,"Armstrong","Fished","Fished.Armstrong.Ricey_Beach.EPJ"
"Fished.Armstrong.Ricey_Beach.ST.3",3.5,NA,"Armstrong","Fished","Fished.Armstrong.Ricey_Beach.ST"
"Fished.Armstrong.Ricey_Beach.ST.4",3,NA,"Armstrong","Fished","Fished.Armstrong.Ricey_Beach.ST"
"Fished.Armstrong.Ricey_Beach.ST.5",0,NA,"Armstrong","Fished","Fished.Armstrong.Ricey_Beach.ST"
"No-take.Armstrong.Little_Armstrong_Bay_East.AAE.2",9,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_East.AAE"
"No-take.Armstrong.Little_Armstrong_Bay_East.AAE.3",8,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_East.AAE"
"No-take.Armstrong.Little_Armstrong_Bay_East.AAE2.4",8,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_East.AAE2"
"No-take.Armstrong.Little_Armstrong_Bay_East.THJ.1",6,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_East.THJ"
"No-take.Armstrong.Little_Armstrong_Bay_West.THJ.2",0,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_West.THJ"
"No-take.Armstrong.Little_Armstrong_Bay_West.THJ.3",0,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_West.THJ"
"No-take.Armstrong.Little_Armstrong_Bay_West.THJ.5",5,NA,"Armstrong","No-take","No-take.Armstrong.Little_Armstrong_Bay_West.THJ"
"Fished.Green_Island.East_Strickland.AT.3",1,NA,"Green_Island","Fished","Fished.Green_Island.East_Strickland.AT"
"Fished.Green_Island.East_Strickland.EPJ.5",2,NA,"Green_Island","Fished","Fished.Green_Island.East_Strickland.EPJ"
"Fished.Green_Island.East_Strickland.ST.2",1,NA,"Green_Island","Fished","Fished.Green_Island.East_Strickland.ST"
"Fished.Green_Island.Strickland_West.BS.1",0,NA,"Green_Island","Fished","Fished.Green_Island.Strickland_West.BS"
"Fished.Green_Island.Strickland_West.LC.3",65,NA,"Green_Island","Fished","Fished.Green_Island.Strickland_West.LC"
"Fished.Green_Island.Strickland_West.LC.5",1.66666666666667,NA,"Green_Island","Fished","Fished.Green_Island.Strickland_West.LC"
"No-take.Green_Island.Green_Island.AT.2",2,NA,"Green_Island","No-take","No-take.Green_Island.Green_Island.AT"
"No-take.Green_Island.Green_Island.AT.3",7,NA,"Green_Island","No-take","No-take.Green_Island.Green_Island.AT"
"No-take.Green_Island.Green_Island.AT.4",1,NA,"Green_Island","No-take","No-take.Green_Island.Green_Island.AT"
"No-take.Green_Island.Green_Island.AT.5",5,NA,"Green_Island","No-take","No-take.Green_Island.Green_Island.AT"
"No-take.Green_Island.Green_Island.ST.1",3,NA,"Green_Island","No-take","No-take.Green_Island.Green_Island.ST"
"No-take.Green_Island.Green_Island.ST.5",4,NA,"Green_Island","No-take","No-take.Green_Island.Green_Island.ST"
"No-take.Green_Island.Mary_Cove.BS.1",0.333333333333333,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.BS"
"No-take.Green_Island.Mary_Cove.BS.3",0.111111111111111,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.BS"
"No-take.Green_Island.Mary_Cove.BS.4",3,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.BS"
"No-take.Green_Island.Mary_Cove.BS.5",2.2,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.BS"
"No-take.Green_Island.Mary_Cove.LC.1",1,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.LC"
"No-take.Green_Island.Mary_Cove.LC.5",8.5,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.LC"
"No-take.Green_Island.Mary_Cove.SRJ.5",14,NA,"Green_Island","No-take","No-take.Green_Island.Mary_Cove.SRJ"
"Fished.Parker_Pt.East_Salmon_Bay.LB.2",1,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.LB"
"Fished.Parker_Pt.East_Salmon_Bay.SC.1",0,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.SC"
"Fished.Parker_Pt.East_Salmon_Bay.SC.2",3.2,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.SC"
"Fished.Parker_Pt.East_Salmon_Bay.SC.3",0,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.SC"
"Fished.Parker_Pt.East_Salmon_Bay.SC.4",0.5,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.SC"
"Fished.Parker_Pt.East_Salmon_Bay.SC.5",0,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.SC"
"Fished.Parker_Pt.East_Salmon_Bay.SRJ.1",20,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.SRJ"
"Fished.Parker_Pt.East_Salmon_Bay.SRJ.4",1,NA,"Parker_Pt","Fished","Fished.Parker_Pt.East_Salmon_Bay.SRJ"
"Fished.Parker_Pt.Parker_Point.BS.1",0.25,NA,"Parker_Pt","Fished","Fished.Parker_Pt.Parker_Point.BS"
"Fished.Parker_Pt.Parker_Point.BS.2",0.5,NA,"Parker_Pt","Fished","Fished.Parker_Pt.Parker_Point.BS"
"Fished.Parker_Pt.Parker_Point.BS.3",0.5,NA,"Parker_Pt","Fished","Fished.Parker_Pt.Parker_Point.BS"
"Fished.Parker_Pt.Parker_Point.BS.4",1.86363636363636,NA,"Parker_Pt","Fished","Fished.Parker_Pt.Parker_Point.BS"
"Fished.Parker_Pt.Parker_Point.BS.5",0,NA,"Parker_Pt","Fished","Fished.Parker_Pt.Parker_Point.BS"
"No-take.Parker_Pt.East_Salmon.JAT.4",19,NA,"Parker_Pt","No-take","No-take.Parker_Pt.East_Salmon.JAT"
"No-take.Parker_Pt.East_Salmon.JAT.5",14,NA,"Parker_Pt","No-take","No-take.Parker_Pt.East_Salmon.JAT"
"No-take.Parker_Pt.East_Salmon.ST.3",8,NA,"Parker_Pt","No-take","No-take.Parker_Pt.East_Salmon.ST"
"No-take.Parker_Pt.East_Salmon.ST.5",2.4,NA,"Parker_Pt","No-take","No-take.Parker_Pt.East_Salmon.ST"
"No-take.Parker_Pt.Little Salmon_Bay.AH.3",2.5,NA,"Parker_Pt","No-take","No-take.Parker_Pt.Little Salmon_Bay.AH"
"No-take.Parker_Pt.Little Salmon_Bay.AH.4",17,NA,"Parker_Pt","No-take","No-take.Parker_Pt.Little Salmon_Bay.AH"
"No-take.Parker_Pt.Little Salmon_Bay.AH.5",5,NA,"Parker_Pt","No-take","No-take.Parker_Pt.Little Salmon_Bay.AH"
"No-take.Parker_Pt.Little Salmon_Bay.EAA.2",5,NA,"Parker_Pt","No-take","No-take.Parker_Pt.Little Salmon_Bay.EAA"
