"transect.id","M","F","J","school.count","","sanctuary","status","group.id"
"Fished.Armstrong.Catherine_Bay.BC.1",0,2,0,1,NA,"Armstrong","Fished","Fished.Armstrong.Catherine_Bay.BC"
"Fished.Armstrong.Catherine_Bay.BC.2",0,0,0,0,NA,"Armstrong","Fished","Fished.Armstrong.Catherine_Bay.BC"
"Fished.Armstrong.Catherine_Bay.BC.3",0,5,0,1,NA,"Armstrong","Fished","Fished.Armstrong.Catherine_Bay.BC"
"Fished.Armstrong.Catherine_Bay.BC.4",0,1,0,1,NA,"Armstrong","Fished","Fished.Armstrong.Catherine_Bay.BC"
"Fished.Armstrong.Catherine_Bay.BC.5",0,2,0,2,NA,"Armstrong","Fished","Fished.Armstrong.Catherine_Bay.BC"
"Fished.Armstrong.Catherine_Bay.LS.1",1,0,0,1,NA,"Armstrong","Fished","Fished.Armstrong.Catherine_Bay.LS"
"Fished.Armstrong.Catherine_Bay.LS.2",1,41,0,2,NA,"Armstrong","Fished","Fished.Armstrong.Catherine_Bay.LS"
"Fished.Armstrong.Catherine_Bay.LS.3",0,2,0,2,NA,"Armstrong","Fished","Fished.Armstrong.Catherine_Bay.LS"
"Fished.Armstrong.Catherine_Bay.LS.4",0,0,0,0,NA,"Armstrong","Fished","Fished.Armstrong.Catherine_Bay.LS"
"Fished.Armstrong.Catherine_Bay.LS.5",1,0,20,2,NA,"Armstrong","Fished","Fished.Armstrong.Catherine_Bay.LS"
"Fished.Armstrong.Catherine_Bay.SRJ.1",0,0,0,0,NA,"Armstrong","Fished","Fished.Armstrong.Catherine_Bay.SRJ"
"Fished.Armstrong.Catherine_Bay.SRJ.2",0,8,0,1,NA,"Armstrong","Fished","Fished.Armstrong.Catherine_Bay.SRJ"
"Fished.Armstrong.Catherine_Bay.SRJ.3",1,0,8,2,NA,"Armstrong","Fished","Fished.Armstrong.Catherine_Bay.SRJ"
"Fished.Armstrong.Catherine_Bay.SRJ.4",0,1,1,2,NA,"Armstrong","Fished","Fished.Armstrong.Catherine_Bay.SRJ"
"Fished.Armstrong.Catherine_Bay.SRJ.5",0,1,8,1,NA,"Armstrong","Fished","Fished.Armstrong.Catherine_Bay.SRJ"
"Fished.Armstrong.Geordie_Bay.AT.1",0,0,0,0,NA,"Armstrong","Fished","Fished.Armstrong.Geordie_Bay.AT"
"Fished.Armstrong.Geordie_Bay.AT.2",0,3,0,2,NA,"Armstrong","Fished","Fished.Armstrong.Geordie_Bay.AT"
"Fished.Armstrong.Geordie_Bay.AT.3",0,2,0,2,NA,"Armstrong","Fished","Fished.Armstrong.Geordie_Bay.AT"
"Fished.Armstrong.Geordie_Bay.AT.4",1,1,0,1,NA,"Armstrong","Fished","Fished.Armstrong.Geordie_Bay.AT"
"Fished.Armstrong.Geordie_Bay.AT.5",0,6,0,3,NA,"Armstrong","Fished","Fished.Armstrong.Geordie_Bay.AT"
