"transect.id","count","","sanctuary","status","site"
"AT.4",1,NA,"Armstrong","Fished","Geordie_Bay"
"AT.4",1,NA,"Armstrong","Fished","Geordie_Bay"
"HA.3",3,NA,"Armstrong","Fished","Longreach_Bay"
"AT.3",8,NA,"Armstrong","Fished","Ricey_Beach"
"AT.3",1,NA,"Armstrong","Fished","Ricey_Beach"
"AT.3",7,NA,"Armstrong","Fished","Ricey_Beach"
"EPJ.1",17,NA,"Armstrong","Fished","Ricey_Beach"
"ST.3",3.5,NA,"Armstrong","Fished","Ricey_Beach"
"ST.3",8,NA,"Armstrong","Fished","Ricey_Beach"
"ST.4",3,NA,"Armstrong","Fished","Ricey_Beach"
"ST.5",0,NA,"Armstrong","Fished","Ricey_Beach"
"ST.5",4,NA,"Armstrong","Fished","Ricey_Beach"
"ST.5",2.4,NA,"Armstrong","Fished","Ricey_Beach"
"AAE.2",9,NA,"Armstrong","No-take","Little_Armstrong_Bay"
"AAE.3",8,NA,"Armstrong","No-take","Little_Armstrong_Bay"
"AAE.9",8,NA,"Armstrong","No-take","Little_Armstrong_Bay"
"THJ.2",0,NA,"Armstrong","No-take","Little_Armstrong_Bay"
"THJ.3",0,NA,"Armstrong","No-take","Little_Armstrong_Bay"
"THJ.5",5,NA,"Armstrong","No-take","Little_Armstrong_Bay"
"THJ.6",6,NA,"Armstrong","No-take","Little_Armstrong_Bay"
"AT.3",8,NA,"Green_Island","Fished","East_Strickland"
"AT.3",1,NA,"Green_Island","Fished","East_Strickland"
"AT.3",7,NA,"Green_Island","Fished","East_Strickland"
"EPJ.5",2,NA,"Green_Island","Fished","East_Strickland"
"ST.2",1,NA,"Green_Island","Fished","East_Strickland"
"AT.2",2,NA,"Green_Island","No-take","Green_Island"
"AT.3",8,NA,"Green_Island","No-take","Green_Island"
"AT.3",1,NA,"Green_Island","No-take","Green_Island"
"AT.3",7,NA,"Green_Island","No-take","Green_Island"
"AT.4",1,NA,"Green_Island","No-take","Green_Island"
"AT.4",1,NA,"Green_Island","No-take","Green_Island"
"AT.5",5,NA,"Green_Island","No-take","Green_Island"
"ST.1",3,NA,"Green_Island","No-take","Green_Island"
"ST.5",0,NA,"Green_Island","No-take","Green_Island"
"ST.5",4,NA,"Green_Island","No-take","Green_Island"
"ST.5",2.4,NA,"Green_Island","No-take","Green_Island"
"JAT.4",19,NA,"Parker_Pt","No-take","East_Salmon"
"JAT.5",14,NA,"Parker_Pt","No-take","East_Salmon"
"ST.3",3.5,NA,"Parker_Pt","No-take","East_Salmon"
"ST.3",8,NA,"Parker_Pt","No-take","East_Salmon"
"ST.5",0,NA,"Parker_Pt","No-take","East_Salmon"
"ST.5",4,NA,"Parker_Pt","No-take","East_Salmon"
"ST.5",2.4,NA,"Parker_Pt","No-take","East_Salmon"
"AH.3",2.5,NA,"Parker_Pt","No-take","Little Salmon_Bay"
"AH.4",17,NA,"Parker_Pt","No-take","Little Salmon_Bay"
"AH.5",5,NA,"Parker_Pt","No-take","Little Salmon_Bay"
"EAA.2",5,NA,"Parker_Pt","No-take","Little Salmon_Bay"
"EAA.3",3,NA,"Parker_Pt","No-take","Little Salmon_Bay"
"JH.1",7,NA,"Parker_Pt","No-take","Little Salmon_Bay"
