"sample.no","M","F","J","school.count","","sanctuary","status","site"
1,0,0,0,0,NA,"Armstrong","Fished","Geordie_Bay"
2,0,3,0,0,NA,"Armstrong","Fished","Geordie_Bay"
3,0,2,0,0,NA,"Armstrong","Fished","Geordie_Bay"
4,0,1,0,0,NA,"Armstrong","Fished","Geordie_Bay"
5,0,6,0,0,NA,"Armstrong","Fished","Geordie_Bay"
6,0,0,0,0,NA,"Armstrong","Fished","Geordie_Bay"
7,0,0,0,0,NA,"Armstrong","Fished","Geordie_Bay"
8,0,3,0,0,NA,"Armstrong","Fished","Geordie_Bay"
9,0,0,0,0,NA,"Armstrong","Fished","Geordie_Bay"
10,0,0,0,0,NA,"Armstrong","Fished","Geordie_Bay"
11,0,4,0,0,NA,"Armstrong","Fished","Geordie_Bay"
12,0,0,0,0,NA,"Armstrong","Fished","Geordie_Bay"
13,0,0,0,0,NA,"Armstrong","Fished","Geordie_Bay"
14,0,0,0,0,NA,"Armstrong","Fished","Geordie_Bay"
15,0,3,0,0,NA,"Armstrong","Fished","Longreach_Bay"
16,0,0,0,0,NA,"Armstrong","Fished","Longreach_Bay"
17,0,3,0,0,NA,"Armstrong","Fished","Longreach_Bay"
18,0,7,0,0,NA,"Armstrong","Fished","Longreach_Bay"
19,0,0,0,0,NA,"Armstrong","Fished","Longreach_Bay"
20,0,2,0,0,NA,"Armstrong","Fished","Longreach_Bay"
21,0,0,0,0,NA,"Armstrong","Fished","Longreach_Bay"
22,0,3,0,0,NA,"Armstrong","Fished","Longreach_Bay"
23,0,0,0,0,NA,"Armstrong","Fished","Longreach_Bay"
24,0,7,0,0,NA,"Armstrong","Fished","Longreach_Bay"
25,0,1,0,0,NA,"Armstrong","Fished","Longreach_Bay"
26,0,2,0,0,NA,"Armstrong","Fished","Longreach_Bay"
27,0,3,0,0,NA,"Armstrong","Fished","Longreach_Bay"
28,0,0,0,0,NA,"Armstrong","Fished","Longreach_Bay"
29,0,0,0,0,NA,"Armstrong","Fished","Longreach_Bay"
30,0,0,0,0,NA,"Armstrong","Fished","Parakeet_Bay"
31,0,22,0,0,NA,"Armstrong","Fished","Parakeet_Bay"
32,0,0,0,0,NA,"Armstrong","Fished","Parakeet_Bay"
33,0,7,0,0,NA,"Armstrong","Fished","Parakeet_Bay"
34,0,2,0,0,NA,"Armstrong","Fished","Parakeet_Bay"
35,0,3,0,0,NA,"Armstrong","Fished","Parakeet_Bay"
36,0,1,0,0,NA,"Armstrong","Fished","Parakeet_Bay"
37,0,8,0,0,NA,"Armstrong","Fished","Parakeet_Bay"
38,0,1,0,0,NA,"Armstrong","Fished","Parakeet_Bay"
39,0,0,0,0,NA,"Armstrong","Fished","Parakeet_Bay"
40,0,1,0,0,NA,"Armstrong","Fished","Parakeet_Bay"
41,0,1,0,0,NA,"Armstrong","Fished","Parakeet_Bay"
42,0,3,0,0,NA,"Armstrong","Fished","Parakeet_Bay"
43,0,1,0,0,NA,"Armstrong","Fished","Parakeet_Bay"
44,0,7,0,0,NA,"Armstrong","Fished","Parakeet_Bay"
45,0,5,0,0,NA,"Armstrong","Fished","Ricey_Beach"
46,0,2,0,0,NA,"Armstrong","Fished","Ricey_Beach"
47,0,8,0,0,NA,"Armstrong","Fished","Ricey_Beach"
48,0,0,0,0,NA,"Armstrong","Fished","Ricey_Beach"
49,0,5,0,0,NA,"Armstrong","Fished","Ricey_Beach"
50,0,17,0,0,NA,"Armstrong","Fished","Ricey_Beach"
51,0,18,0,0,NA,"Armstrong","Fished","Ricey_Beach"
52,0,2,0,0,NA,"Armstrong","Fished","Ricey_Beach"
53,0,32,0,0,NA,"Armstrong","Fished","Ricey_Beach"
54,0,14,0,0,NA,"Armstrong","Fished","Ricey_Beach"
55,0,5,0,0,NA,"Armstrong","Fished","Ricey_Beach"
56,0,29,0,0,NA,"Armstrong","Fished","Ricey_Beach"
57,0,7,0,0,NA,"Armstrong","Fished","Ricey_Beach"
58,0,6,0,0,NA,"Armstrong","Fished","Ricey_Beach"
59,0,0,0,0,NA,"Armstrong","Fished","Ricey_Beach"
